,content,count,emo
0,泰裤辣,42,3
1,火钳刘明,9,4
2,奖励哥,4,4
3,泰酷辣,4,3
4,我就知道,4,3
5,TKL,3,3
6,泪目,3,4
7,笑死,2,2
8,泰酷啦,2,2
9,泰裤啦,2,3
10,Sakura,2,3
11,他们说的对,2,2
12,经典,2,4
13,董润祺,2,2
14,恶心,2,0
15,英文字幕泰裤辣,2,1
16,tequila,2,3
17,虎哥友情客串,2,3
18,原告中国话,1,4
19,泰文,1,2
20,首页通知书,1,3
21,董明珠是无辜的,1,3
22,细嗦,1,3
23,点进来前就开始笑,1,3
24,给你一个大拇哥,1,2
25,比他的rap好,1,3
26,有当年坤哥的风范,1,5
27,光速磨针,1,2
28,泰对辣,1,1
29,太苦dua,1,2
30,太困啦,1,1
31,不妙了,1,3
32,预计会火插个眼,1,0
33,泰    く　辣,1,1
34,看到封面就笑了,1,5
35,这个字幕,1,2
36,有望成为下一个坤坤,1,2
37,文艺复兴,1,3
38,突然觉得像乒乒乓乓,1,2
39,ikun光荣下岗,1,3
40,老子唆了蒜,1,5
41,下次一定,1,3
42,    ,1,3
43,保护,1,3
44,她肯定没有一米七,1,2
45,四大跳神,1,3
46,全世界都在刷b三狼,1,3
47,歪比歪比 歪比巴卜,1,0
48,字幕在干什么,1,0
49,柱子是你吗,1,2
50,泪目听裤了,1,4
51,你厉害我给你大拇哥,1,2
52,呼呼烫手,1,2
53,舞台紫薇是吧,1,3
54,那些人都不玩了,1,3
55,比他本人说唱的好,1,3
56,小亮友情客串,1,3
57,178把把击杀,1,1
58,省流奖励哥,1,4
59, 没 有 麻 辣,1,2
60,从此鸡哥便有了传人,1,5
61,别只用宋体,1,4
62,太 裤 辣 ,1,4
63,嗦了蒜,1,2
64,泰裤辣给你个大拇哥,1,2
65,要素过多,1,0
66,奖励时间到,1,3
67,全世界都泰裤辣是吧,1,3
68,虎哥友情配音,1,5
69,she律师函警告,1,5
70,泰酷市,1,1
71,说我傻子咩人扇嘴巴子,1,0
72,我给你树大拇哥,1,5
73,老子嗦了蒜,1,4
74,我根本不管,1,3
75,没有当时老鲲的热庹,1,1
76,泰 裤 辣,1,4
77,杀马特永不死,1,3
78,格力下场开团,1,1
79,泰坤啦幻听,1,5
80,好听,1,2
81,开屏暴击,1,3
82,泰坤辣,1,3
83,这个鬼畜太文艺复兴了,1,4
84,sakura,1,3
85,大拇哥,1,3
86,AE教学片,1,5
87,原告格力,1,2
88,点赞,1,5
89,kksk,1,3
90,ace b,1,3
91,奖励,1,3
92,你厉害给你大拇哥,1,2
93,泰  坤   辣,1,1
94,泰库辣,1,3
95,这个都能成为梗,1,3
96,这个其实没那么好听,1,1
97,家电下乡,1,4
98,这tm才叫rap,1,2
99,开庭时带上你的城,1,3
100,笑死我了英语字幕,1,1
101,英文字幕亮了,1,1
102,说的不对吗,1,1
103,火钳留明,1,1
104,以前鬼畜的味道,1,2
105,这是奖励自己,1,3
106,烂活,1,1
107,40,1,1
108,九转藏品,1,3
109,数字九转大肠确信,1,5
110,他甚至为此建了一座城,1,4
111,深圳,1,2
112,好家伙,1,3
113,格力空调宣传视频,1,0
114,艾斯碧,1,4
115,刚点进来就绷不住,1,0
116,太kun辣,1,1
117,太酷了,1,3
118,毁童年,1,3
119,牛逼 这填词,1,5
120,太哭辣,1,3
121,大制作,1,4
122,笑出了腹肌,1,5
123,禁忌二重奏,1,5
124,好經典的mv,1,3
125,帅逼,1,5
126,Silly Bi,1,2
127,撒库拉幻听,1,4
128,全明星预告,1,4
129,歪比歪比,1,0
130,还热乎,1,3
131,禁忌二重唱,1,5
132,AIPC,1,3
133,因为字母泰裤辣,1,0
134,114514警撅,1,4
135,是古早味鬼畜,1,5
136,泰裤啦超大声,1,1
137,很难不火,1,1
138,自炒,1,2
139,太辣,1,2
140,聪明,1,3
141,泰裤辣yes,1,3
142,故郷の言葉doge,1,3
143,给你大姆哥,1,3
144,奖励自我中,1,5
145,人声大提琴是吧,1,4
146,每天一遍,1,4
147,绷不住了,1,2
148,迈阿密风评屡次受害,1,1
149,泰裤辣突然升高,1,2
150,给你大拇哥,1,3
151,bi,1,3
152,i love 柯洁,1,1
153,德古拉幻听,1,5
154,太坤辣,1,3
155,开头就蚌埠住了,1,4
156,深圳罪不至此,1,2
157,潮男试制作,1,4
158,还有日文我是没想到的,1,4
159,那可真是泰裤辣,1,3
160,蔡坤辣,1,3
161,是什么为什么怎么做,1,3
162,好活太酷啦,1,4
163,泰太酷了,1,1
164,泪目听哭了,1,5
165,泰酷拉,1,1
166,深圳勿Q,1,1
167,DDs DD,1,2
168,下面字幕故鄉の言葉,1,5
169,说唱歌手有本科的吗,1,5
170,奖励一下,1,3
171,确实,1,3
172,词硬配什么曲都行,1,2
173,怎么有点好听,1,1
174,此时无声胜有声,1,5
175,经典再现,1,5
176,英语字幕泰裤辣,1,1
177,byd燃起来了,1,2
178,篮球,1,3
179,一次听个爽,1,4
180,不忘初心方得始终,1,1
181,太坤啦,1,3
182,紧跟鬼流,1,4
